MAIN_RIV,DIS_AV_CMS
70318765,1803.453
70318765,1803.573
70318765,1820.687
70318765,1839.551
70318765,1839.847
70318765,1821.669
70318765,1838.848
70318765,1842.723
70318765,1891.892
70386275,2930.949
70318765,1902.21
70318765,1902.969
70386275,2930.543
70318765,1910.245
70318765,1913.867
70386275,2929.775
70318765,1924.823
70386275,3174.024
70386275,2929.362
70386275,3174.251
70386275,3173.473
70386275,2929.404
70386275,3174.646
70386275,2929.203
70386275,3175.263
70386275,3270.089
70386275,3270.158
70386275,2929.311
70386275,2929.274
70386275,3270.025
70386275,3169.97
70386275,3172.259
70386275,3267.912
70386275,3268.314
70386275,3174.423
70386275,3177.304
70386275,3174.892
70386275,3175.964
70386275,3266.626
70386275,3169.728
70386275,3266.253
70386275,3175.714
70386275,3176.899
70386275,3176.106
70386275,2928.76
70386275,2928.405
70386275,3169.544
70386275,3168.741
70386275,3175.117
70386275,3168.114
70386275,3173.759
70386275,2927.328
70386275,3167.687
70386275,3176.66
70386275,3173.107
70386275,2927.659
70386275,3167.137
70386275,2927.445
70386275,3308.698
70386275,3166.715
70386275,3164.233
70386275,3164.574
70386275,2926.64
70386275,3163.772
70386275,3163.153
70386275,3150.97
70386275,3150.64
70386275,3309.168
70386275,3163.667
70386275,3163.548
70386275,3163.298
70386275,3150.315
70386275,3309.944
70386275,2925.361
70386275,3150.204
70367865,1199.203
70386275,3310.191
70386275,3310.417
70386275,3152.959
70367865,1235.602
70367865,1235.821
70367865,1256.899
70367865,1257.291
70367865,1257.643
70386275,3149.997
70367865,1257.883
70367865,1258.54
70386275,3152.599
70386275,3152.257
70367865,1258.85
70367865,1259.902
70367865,1260.145
70367865,1260.391
70367865,1288.582
70367865,1289.011
70367865,1289.564
70386275,3310.72
70367865,1289.987
